n_legislatura;n_govern;persona;cargo
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Enrique Monsonís Domingo;Presidente
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Felipe Guardiola Sellés;Vicepresidente y Conseller de Interior
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Luis Verdú López Sanz;Conseller de Obras Públicas y Urbanismo
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Ciprià Císcar i Casaban;Conseller de Cultura
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Amparo Cabanes Pecourt;Consellera de Educación
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Segundo Bru Parra;Conseller de Economía, Comercio e Industria
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;José Antonio Bordils Ferrer;Conseller de Agricultura y Pesca. Cesa el 15/07/1982
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Salvador López Sanz;Conseller de Sanidad y Seguridad Social
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Ángel Luna González;Conseller de Trabajo
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Jose Luis Sorribes Mur;Conseller adjunto a la Presidencia
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Vicente Gómez Chirivella;Conseller de Transporte y Turismo
Gobierno Preautonómico;Octavo gobierno Preautonómico  (UCD) de 15.09.1981 a 11.08.1982;Jorge Navarro Canuto;Conseller de Hacienda
Gobierno Preautonómico;Séptimo gobierno Preautonómico  (UCD) de 15.06.1981 a 15.09.1981;Enrique Monsonís Domingo;Presidente
Gobierno Preautonómico;Séptimo gobierno Preautonómico  (UCD) de 15.06.1981 a 15.09.1981;José Peris Soler;Conseller de Educación y Cultura
Gobierno Preautonómico;Séptimo gobierno Preautonómico  (UCD) de 15.06.1981 a 15.09.1981;José Luis Sorribes Mur;Conseller de Obras Públicas y Urbanismo
Gobierno Preautonómico;Séptimo gobierno Preautonómico  (UCD) de 15.06.1981 a 15.09.1981;Leonardo Ramón Sales;Conseller de Industria y Comercio y Agricultura
Gobierno Preautonómico;Sexto gobierno Preautonómico (UCD) de 1.10.1980 a 15.06.1981;Enrique Monsonís Domingo;Presidente
Gobierno Preautonómico;Sexto gobierno Preautonómico (UCD) de 1.10.1980 a 15.06.1981;José Peris Soler;Conseller de Educación y Cultura
Gobierno Preautonómico;Sexto gobierno Preautonómico (UCD) de 1.10.1980 a 15.06.1981;José Luis Sorribes Mur;Conseller de Transportes y Bienestar Social, Obras Públicas y Urbanismo y Turismo
Gobierno Preautonómico;Sexto gobierno Preautonómico (UCD) de 1.10.1980 a 15.06.1981;Leonardo Ramón Sales;Conseller de Industria y Comercio y Agricultura
Gobierno Preautonómico;Quinto gobierno Preautonómico  (UCD) de 17.12.1979 a 1.10.1980;Enrique Monsonís Domingo;Presidente
Gobierno Preautonómico;Quinto gobierno Preautonómico  (UCD) de 17.12.1979 a 1.10.1980;José Peris Soler;Conseller de Educación y Cultura
Gobierno Preautonómico;Quinto gobierno Preautonómico  (UCD) de 17.12.1979 a 1.10.1980;Antonio Espinosa Chapinal;Conseller de Obras Públicas y Urbanismo
Gobierno Preautonómico;Quinto gobierno Preautonómico  (UCD) de 17.12.1979 a 1.10.1980;Leonardo Ramón Sales;Conseller de Industria y Comercio y Agricultura
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Josep Lluís Albiñana Olmos;Presidente
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Enrique Monsonís Domingo;Conseller de Economía y Hacienda, Interior y Trabajo, Obras Públicas y Urbanismo y Turismo
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Francisco Armell Valero;Conseller por la Diputación Provincial de Alicante
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Salvador Miro San Juan;Conseller por la Diputación Provincial de Alicante
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Antonio Espinosa Chapinal;Conseller de Transportes y Bienestar Social
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Luis Verdú López;Conseller por la Diputación Provincial de Alicante
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;José Peris Soler;Conseller de Educación y Cultura y Sanidad y Seguridad Social
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Juan Forés Escurra;Conseller por la Diputación Provincial de Castellón
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Antonio García Miralles;Conseller de Obras Públicas y Urbanismo
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Abilio Lázaro Mengod;Conseller por la Diputación Provincial de Castellón
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Leonardo Ramón Sales;Conseller de Industria y Comercio y Agricultura
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Julián Sanmillán Rius;Conseller por la Diputación Provincial de Castellón
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;José Beviá Pastor;Conseller sin cartera
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Manuel Girona Rubio;Conseller por la Diputación Provincial de Valencia
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Antonio José Tirado Jiménez;Conseller sin cartera
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Vicente Gómez Chirivella;Conseller por la Diputación Provincial de Valencia
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Adela Pla Pastor;Conseller sin cartera
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;Benjamín March Civera;Conseller por las Diputación Provincial de Valencia
Gobierno Preautonómico;Cuarto gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 14.09.1979 a 17.12.1979;José Galán Peláez;Conseller sin cartera
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Josep Lluís Albiñana Olmos;Presidente
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Enrique Monsonís Domingo;Conseller de Economía y Hacienda, Interior y Trabajo, Obras Públicas y Urbanismo y Turismo
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Francisco Armell Valero;Conseller por la Diputación Provincial de Alicante
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Salvador Miro San Juan;Conseller por la Diputación Provincial de Alicante
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Antonio Espinosa Chapinal;Conseller de Transportes y Bienestar Social
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Luis Verdú López;Conseller por la Diputación Provincial de Alicante
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;José Peris Soler;Conseller de Educación y Cultura y Sanidad y Seguridad Social
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Juan Forés Escurra;Conseller por la Diputación Provincial de Castellón
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Antonio García Miralles;Conseller de Obras Públicas y Urbanismo
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Abilio Lázaro Mengod;Conseller por la Diputación Provincial de Castellón
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Leonardo Ramón Sales;Conseller de Industria y Comercio y Agricultura
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Julián Sanmillán Rius;Conseller por la Diputación Provincial de Castellón
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;José Beviá Pastor;Conseller sin cartera
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Manuel Girona Rubio;Conseller por la Diputación Provincial de Valencia
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Antonio García Miralles;Conseller sin cartera
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Vicente Gómez Chirivella;Conseller por la Diputación Provincial de Valencia
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;José Galán Peláez;Conseller sin cartera
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Adela Pla Pastor;Conseller sin cartera
Gobierno Preautonómico;Tercer gobierno Preautonómico  (PSPV-PSOE+UCD+PCPV-PCE) de 30.06.1979 a 14.09.1979;Benjamín March Civera;Conseller por las Diputación Provincial de Valencia
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Josep Lluís Albiñana Olmos;Presidente
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Javier Aguirre de la Hoz;Conseller de Economía y Hacienda
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Alberto Jarabo Payá;Conseller de Turismo
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Fernando Vidal Gil;Conseller de Interior
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Manuel Sánchez Ayuso;Conseller de Sanidad y Seguridad Social
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;José Luis Barceló Rodríguez;Conseller de Educación y Ciencia
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;José Beviá Pastor;Conseller de Cultura
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Antonio García Miralles;Conseller de Obras Públicas y Urbanismo
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;José Galán Peláez;Conseller de Transportes y Bienestar Social
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Joan Lerma i Blasco;Conseller de Trabajo
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Bernardo Heredia Gutiérrez;Conseller sin cartera Alicante
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Leonardo Ramón Sales;Conseller de Industria y Comercio
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Luis Ramón Martínez Pérez;Conseller sin cartera Castellón
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Enrique Monsonís Domingo;Conseller de Agricultura
Gobierno Preautonómico;Segundo gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 17.06.1978 a 30.06.1979;Ignacio Docavo Alberti;Conseller sin cartera Valencia
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Josep Lluís Albiñana Olmos;Presidente
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Javier Aguirre de la Hoz;Conseller de Economía y Hacienda
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Alberto Jarabo Payá;Conseller de Turismo
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Fernando Vidal Gil;Conseller de Interior
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Manuel Sánchez Ayuso;Conseller de Sanidad y Seguridad Social
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;José Luis Barceló Rodríguez;Conseller de Educación y Ciencia
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;José Beviá Pastor;Conseller de Cultura
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Antonio García Miralles;Conseller de Obras Públicas y Urbanismo
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Emèrit Bono i Martínez;Conseller de Transportes y Bienestar Social
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Joan Lerma i Blasco;Conseller de Trabajo
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Bernardo Heredia Gutiérrez;Conseller sin cartera Alicante
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Leonardo Ramón Sales;Conseller de Industria y Comercio
Gobierno Preautonómico;Primer gobierno Preautonómico (PSOE+UCD+AP+PSP+USPV+PCPV-PCE) de 10.04.1978 a 17.06.1978;Luis Ramón Martínez Pérez;Conseller sin cartera Castellón
