diputado;partido;provincia;n_legislatura
Antonio García Miralles;PSPV-PSOE(51 diputados);Alicante;I
Alberto Javier Pérez Ferre;PSPV-PSOE(51 diputados);Alicante;I
Ángel Luna González;PSPV-PSOE(51 diputados);Alicante;I
Emilio Soler Pascual;PSPV-PSOE(51 diputados);Alicante;I
Francisco Rodríguez Valderrama;PSPV-PSOE(51 diputados);Alicante;I
Juan Bautista Pastor Marco;PSPV-PSOE(51 diputados);Alicante;I
María Dolores Marcos González;PSPV-PSOE(51 diputados);Alicante;I
Manuel Adriano Arabid Cantos;PSPV-PSOE(51 diputados);Alicante;I
Enrique Louis Rampa;PSPV-PSOE(51 diputados);Alicante;I
José Asensi Sabater;PSPV-PSOE(51 diputados);Alicante;I
Hermenegildo Rodríguez Pérez;PSPV-PSOE(51 diputados);Alicante;I
Miguel Antonio Millana Sansaturio;PSPV-PSOE(51 diputados);Alicante;I
Luis Gabriel Torregrosa Mira;PSPV-PSOE(51 diputados);Alicante;I
Ramón Berenguer Prieto;PSPV-PSOE(51 diputados);Alicante;I
Joaquín Fuster Pérez;PSPV-PSOE(51 diputados);Alicante;I
Emilio José Álvarez Landete;PSPV-PSOE(51 diputados);Alicante;I
José Luis Gomis Gavilán;PSPV-PSOE(51 diputados);Alicante;I
Felipe Guardiola Sellés;PSPV-PSOE(51 diputados);Castellón;I
Ernesto Fenollosa Ten;PSPV-PSOE(51 diputados);Castellón;I
Juan Callao Capdevila;PSPV-PSOE(51 diputados);Castellón;I
Miguel López Muñoz;PSPV-PSOE(51 diputados);Castellón;I
Félix Rodríguez Velasco;PSPV-PSOE(51 diputados);Castellón;I
Alfredo Roé Justiniano;PSPV-PSOE(51 diputados);Castellón;I
Agapito Martínez Ansuátegui;PSPV-PSOE(51 diputados);Castellón;I
Joaquín Nebot Monzonís;PSPV-PSOE(51 diputados);Castellón;I
Joaquim Francesc Puig Ferrer;PSPV-PSOE(51 diputados);Castellón;I
José Rubio Segarra;PSPV-PSOE(51 diputados);Castellón;I
Ricardo Núñez Martín;PSPV-PSOE(51 diputados);Castellón;I
Gonzalo Centelles Nebot;PSPV-PSOE(51 diputados);Castellón;I
Jaime López Granell;PSPV-PSOE(51 diputados);Castellón;I
Juan Sanchordi Pitarch;PSPV-PSOE(51 diputados);Castellón;I
Joan Lerma Blasco;PSPV-PSOE(51 diputados);Valencia;I
Cipriano Jesús Ciscar Casabán;PSPV-PSOE(51 diputados);Valencia;I
Segundo Bru Parra;PSPV-PSOE(51 diputados);Valencia;I
Leandro Picher Buenaventura;PSPV-PSOE(51 diputados);Valencia;I
María Antonia de Armengol Criado;PSPV-PSOE(51 diputados);Valencia;I
Antonio Cebrián Ferrer;PSPV-PSOE(51 diputados);Valencia;I
Rafael Blasco Castany;PSPV-PSOE(51 diputados);Valencia;I
