elecciones;url
Elecciones a las Cortes Valencianas de 1983;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_1983
Elecciones a las Cortes Valencianas de 1987;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_1987
Elecciones a las Cortes Valencianas de 1991;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_1991
Elecciones a las Cortes Valencianas de 1995;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_1995
Elecciones a las Cortes Valencianas de 1999;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_1999
Elecciones a las Cortes Valencianas de 2003;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_2003
Elecciones a las Cortes Valencianas de 2007;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_2007
Elecciones a las Cortes Valencianas de 2011;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_2011
Elecciones a las Cortes Valencianas de 2015;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_2015
Elecciones a las Cortes Valencianas de 2019;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_2019
Elecciones a las Cortes Valencianas de 2023;https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_Valencianas_de_2023
